date,filmarks_clip_count,eiga_checkin_count
2026-06-16,2963,260
2026-06-17,2993,270
2026-06-18,3152,312
2026-06-19,3253,338
2026-06-20,3297,359
2026-06-21,3332,381
2026-06-22,3366,401
2026-06-23,3393,420
2026-06-24,3423,435
2026-06-25,3469,453
2026-06-26,3510,464
2026-06-27,3533,486
2026-06-28,3583,516
2026-06-29,3620,548
2026-06-30,3658,567
2026-07-01,3684,585
2026-07-02,3711,607
2026-07-03,3759,619
2026-07-04,3811,637
2026-07-05,3858,662
2026-07-06,3907,685
2026-07-07,3950,702
2026-07-08,3976,721
2026-07-09,4004,743
2026-07-10,4030,755
2026-07-11,4071,777
2026-07-12,4130,811
2026-07-13,4170,835
2026-07-14,4276,870
2026-07-15,4430,921
2026-07-16,4549,949
2026-07-17,4642,983
2026-07-18,4735,1012
2026-07-19,4784,1033
2026-07-20,4839,1063
2026-07-21,4878,1090
2026-07-22,4922,1122
2026-07-23,4969,1144
2026-07-24,5049,1171
2026-07-25,5104,1194
2026-07-26,5156,1227
2026-07-27,5217,1265
2026-07-28,5260,1298
2026-07-29,5292,1323
2026-07-30,5324,1350
2026-07-31,5363,1378
2026-08-01,5473,1424
2026-08-02,5564,1459
2026-08-03,5671,1505
2026-08-04,5734,1541
2026-08-05,5787,1571
2026-08-06,5871,1616
2026-08-07,5959,1651
2026-08-08,6022,1681
2026-08-09,6100,1718
2026-08-10,6162,1753
2026-08-11,6225,1784
2026-08-12,6291,1822
